{'descr': '住过好几次 真的适合小情侣哈哈哈', 'star': 5}
{'descr': '这个位置交通还算是方便的，而且酒店比较有特色，服务和硬件设施也都还可以，所以我觉得如果是到这个附近来的话，还是可以考虑他的。', 'star': 5}
{'descr': '酒店整体来说比较小一点，房间也稍微小点，没有想象中那么大，不过环境和服务都还不错，离我开会地方也很近，比较方便。', 'star': 5}
{'descr': '房间没有烧水壶不是很方便其它还都是很不错的,位置非常好,卫生也很不错,性价比比较好服务也很不错.', 'star': 5}
{'descr': '很适合情侣约会的酒店，位置虽然难找一点，不过其他方面都很不错，尤其还具有很高的性价比，我和老婆还都想再去呢', 'star': 5}
{'descr': '酒店的位置不错的，交通还方便的。酒店的招牌不明显，很难找到的，服务卫生以及设施都不错的，性价比不错的酒店', 'star': 5}
{'descr': '我很喜欢这家酒店,环境很好很舒适,比较干净整洁,唯一一点有点不好就是酒店靠近大马路有点吵,其它还都是很好的.', 'star': 1}
{'descr': '位置很方便,房间里面也很干净,就是面积有些小,相对酒店环境这个价格还是很合适的.', 'star': 5}
{'descr': '这个酒店的位置对我来说很不错，非常的房间，价格也比较适中，而且酒店里很干净，硬件设施的配备也非常有特色，挺好的。', 'star': 5}
{'descr': '酒店的服务卫生以及设施都很好的，酒店的位置不错的，整体都很好的，性价比不错的酒店的', 'star': 5}
{'descr': '非常好的！相当支持。非常便宜而且环境很小资浪漫适合情侣！', 'star': 3}
{'descr': '非常好！特别支持！！环境好。性价比好！而且楼下那个烧烤特别好！！！哈哈哈！', 'star': 5}
{'descr': '酒店位置有点偏,但是坐地铁比较方便但是转地铁不方便,性价比比较好,卫生服务设施这些还都是很满意的.', 'star': 5}
{'descr': '酒店位置有点偏,但是坐地铁比较方便但是转地铁不方便,性价比比较好,卫生服务设施这些还都是很满意的.', 'star': 5}
{'descr': '酒店住着比较舒服,酒店比较小没有餐厅,没法招待客人,但是房间内设施不错很舒服,走到国展要半个小时.性价比还算不错的.', 'star': 5}
{'descr': '服务热情但房间有异味', 'star': 5}
{'descr': '酒店全是为情侣设计的,卫生间都是透明的,一个大男人住着很不适应,卫生服务这些还算不错,要是情侣住还可以推荐的.', 'star': 1}
{'descr': '酒店的装潢还是蛮新的，蛮有特色的，服务方面也还可以了，夏天还有免费的酸梅汤赠送呢，想的挺周到的，周边环境不是很好，有些吵。价格方面还是比较实惠的，整体感觉还不错，可以推荐', 'star': 5}
{'descr': '房间空间有点小，别的都还行，位置靠近城铁，交通便利', 'star': 5}
{'descr': '很适合情侣去的一家酒店\r\n屋里的装修很是精致~~~', 'star': 5}
{'descr': '酒店的位置出行挺方便的，地铁站就在附近，环境卫生都还不错，价格合理适中。房间的配置硬件设施都很达标，整体来讲非常不错的连锁型酒店值得推荐入住。', 'star': 5}
{'descr': '酒店的环境硬件设施都还不错，位置距离地铁站很近出行交通都很方便，价格合理适中，卫生服务都很达标，很不错的连锁型商务酒店值得推荐入住。', 'star': 5}
{'descr': '酒店房间布置的比较精心,但是房间内通风不好,被子很潮都长毛了闻起来还有味道,位置很好离地铁比较近,其它比较一般.', 'star': 1}
{'descr': '酒店很不错,干净舒适,价格也很符合我的要求；所以酒店的性价比还是很高的；值得推荐的一家酒店；', 'star': 1}
{'descr': '屋子很小资，圆床也很浪漫，粉有家的感觉\r\n唯一的缺点是楼道隔音效果差了点', 'star': 5}
{'descr': '这家酒店还是比较有特色的,很适合年轻人入住,因为色彩很非常,而且感觉也蛮舒适的,价格也不贵,挺满意的.', 'star': 5}
{'descr': '这次是第三次入住，但这次被安排的房间感觉比较小，但设计比较新颖，我还是会继续支持你们的。建议你们的床要更换床垫，太硬了，睡一宿腰和后背都会酸痛。靠垫和床上用品请及时清洗更换，其它的都很不错。下次还会入住！', 'star': 5}
{'descr': '位置还不错，服务很棒！房间很有特色，性价比很高！唯一缺点是附近没什么玩的逛的商场。总体来说很不错', 'star': 5}
{'descr': '酒店的服务卫生非常好，很干净的酒店，硬件设施舒适度也很不错，整体环境都很达标，位置还算是比较方便的，价格合理适中，值得推荐入住。', 'star': 5}
{'descr': '很有特色的酒店~尤其窗外一片绿色~早上起来有鸟叫~很舒服~还在地铁站旁边~但是去天安门会比较远~不过真的很舒服的酒店~', 'star': 5}
{'descr': '酒店的内部环境挺好的,装修和设计方面都蛮适合年青人来住的,价格也不贵,不过感觉地理位置有点偏,在一条小街上,不太好找.', 'star': 5}
{'descr': '酒店价格有些偏高，入住的时间有关系五一期间入住的酒店，位置距离市中心有些偏，附近有地铁站出行交通方便，卫生服务，酒店的硬件设施舒适度都还不错，值得推荐入住的酒店。', 'star': 5}
{'descr': '酒店的环境硬件设施舒适度还是比较达标的，位置出行交通算是比较方便的，附近地铁站，交通就比较一般了，卫生服务很不错，价格合理适中，整体来讲还是可以推荐入住的。并且办了会员卡。', 'star': 5}
{'descr': '酒店的环境硬件设施都很不错，位置出行还是比较方便的，附近有地铁站卫生服务也很达标价格合理适中，整体来讲还是可以推荐入住的酒店类型。', 'star': 5}
{'descr': '酒店设计比较新颖，卫生方面也比较干净，服务方面也还可以，总体来说都不错', 'star': 5}
{'descr': '酒店的格局不错的，服务也可以的，隔音效果不是很好的，床比较硬，酒店位置不错的，出行很便利的，', 'star': 5}
{'descr': '酒店的环境硬件设施舒适度还是比较达标的，位置出行交通算是比较方便的，附近地铁站，交通就比较一般了，卫生服务很不错，价格合理适中，整体来讲还是可以推荐入住的。', 'star': 5}
{'descr': ' 先说位置：离地铁13号线光熙门站非常近。从A口左手边出站，穿过停车场左转到主路上一直走大约200米就到了，途径北京中医学院附中。店面的招牌不是很大，写着色彩酒店，不要错过。路上有个馄饨馆和肉饼店。店里能吃的东西非常多，价格不贵，味道也很好。我是第二天要到美国大使馆签证。早上乘地铁13号线过2站转10号线再过2站在亮马桥站下，非常快捷。酒店大堂有一张很大很详细的北京市地铁图，出门前可以看看。\r\n服', 'star': 5}
{'descr': '服务，硬件各方面都还不错``就是地理位置不太好找``总体还不错``', 'star': 3}
{'descr': '酒店就是地理位置比较难找，其他方面都还是挺不错的，房间也很干净舒适，价格也蛮实惠的。', 'star': 5}
{'descr': '很不错，办了会员', 'star': 5}
{'descr': '住的是铁艺床的主题房，床太硬，隔音太差，电视太小。服务很好。希望硬件方面赶紧加强。', 'star': 1}
{'descr': '很不错,干净舒适,价格也很合适,交通也方便,就挨着国贸；性价比还是较高的,值得推荐一下；', 'star': 5}
{'descr': '房间面积太小了,设施也比较简陋,连个热水器都没有,停车场是公用的,一晚上收了我十五呢.位置也不还找,没有明显标准.感觉就是卫生还不错,房间里挺干净的.', 'star': 1}
{'descr': '酒店确实挺不错的，无论是环境，还是硬件设施，服务都很好，交通也非常的方便，挨着地铁站，就是一点，酒店不能刷卡，其实订之前就在网上看过了，又咨询了一下，告诉我可以刷卡，但是到酒店被告知，刷卡机坏了，这么长时间都没修好，很不方便。', 'star': 5}
{'descr': '服务态度热情,设施也不错,只是如果需要热水会送电热水壶,不是很方便,再有床有些硬,不过整体住着还算舒适的,价格也合适.', 'star': 5}
{'descr': '酒店的整体不错的,酒店的位置非常好,出行很方便的,服务卫生以及酒店的设施都可以,性价比不错的酒店', 'star': 5}
{'descr': '比较有特色商务连锁酒店，环境硬件设施也很好，位置非常好。出行交通也很方便，价格也比较合理适中，值得推荐的酒店类型。可以推荐。', 'star': 5}
{'descr': '酒店的服务卫生方面挺不错的,价格也蛮合适的,值得推荐', 'star': 5}
{'descr': '很有特色的酒店，价格也比较的经济实惠，整体感觉不错', 'star': 5}
{'descr': '酒店的环境卫生挺好的，挺干净，服务也不错，交通挺方便的，我主要觉得他们的价格比较优惠。', 'star': 5}
{'descr': '酒店的整体感觉都很好，价格适中，环境也不错', 'star': 5}
{'descr': '很好，前台服务员和楼道服务员态度相当不错。我已经办了会员卡。下次还去住。', 'star': 5}
{'descr': '门牌虽然比较小，但我使用GPS找到的，还算可以，房子很漂亮，服务态度也很好，出门走几步是光熙门地铁站比较方便，楼下有个烧烤的小店，东西也不错~比较好的地方。。', 'star': 5}
{'descr': '这家酒店我比较喜欢，感觉不错，挺干净的，服务也很周到', 'star': 5}
{'descr': '感觉房间比较小,缺乏一些桌子,房间设施不是很齐全.交通方便.', 'star': 5}
{'descr': '在北京这样的地段，有这样的价格,应该说还是比较超值的!而且这个酒店最大的特点就是适合情侣入住，这个大概也是特色吧.整体装修风格和房间布置很有特点.如果有兴趣的,可以去住一下.只是交通要不熟悉的话会有一点点麻烦!但是如果是个人或者是两个男人什么的,几个朋友一起去的,就免了.美中不足的是卫生间和房间没有有效的阻隔,因此还有一些味道!', 'star': 5}
{'descr': '房间里的卫生方面还是挺干净的,洗漱间里要是有个浴缸就更舒适了.周边交通也挺方便的,价格也蛮合适的.', 'star': 5}
{'descr': '服务态度很好，设施齐全，很喜欢这种风格，推荐情侣入住', 'star': 5}
{'descr': '酒店的硬件设施还是不错的，服务也挺好的，但是环境一般，而且他不好找，在一个小区里。', 'star': 5}
{'descr': '这个位置不是特好，交通不方便，打不着车，而且晚上楼道人比较杂，挺吵的，房间里倒是挺干净的，服务也可以，总的来说还是可以接受的。', 'star': 5}
{'descr': '酒店服务挺好的,位置很好交通比较方便,旁边城铁公交都有,就是自己开车饶了点,其它都很好.', 'star': 5}
{'descr': '位置比较好.但是房间里面没有饮水机,如果想喝水要去前台拿,房间里没有.', 'star': 5}
{'descr': '总的来说对酒店还是很满意的.首先对我们的不小心给酒店的正常营业带来的影响表示歉意!但是我们对酒店的前台服务人员的职业规范提出质疑! (没记错的话应该是6号服务人员) 脾气不太好,说话方式不大对..可能是年龄小,没多少经验的缘故吧.对客人的要求置之不理... 本来很惬意的旅程到最后弄得心情真的很不好! 假期的旅途本来是要放松,图个开心的... 没想到会以这样的方式收尾..总之,下次不会再去了!', 'star': 1}
{'descr': '整体还可以,隔音效果不好.', 'star': 5}
{'descr': '酒店位置有点偏,周边环境还可以,舒适度一般,卫生服务还好,不会推荐个朋友们选择,主要还是位置不太好,不太便利.', 'star': 1}
{'descr': '地理位置不错，交通也很好，内部的环境设施也不错', 'star': 5}
{'descr': '酒店的环境硬件设施舒适度都很好，很温馨的酒店，位置也很方便出行，价格也很合理还是可以考虑入住的酒店类型。对酒店很满意。', 'star': 5}
{'descr': '酒店的地理位置不错，交通很方便，而且价格还不贵，内部的环境也挺好的', 'star': 5}
{'descr': '舒适度很差,这个床太硬了,床垫的档次太低了,睡觉的时候可以感觉身下的每一根弹簧在晃动.地理位置交通方便.', 'star': 1}
{'descr': '酒店总的来说还可以，像是他们的服务都还是一般的，但是内部的装修设施都比较有特色，感觉还不错，位置也挺好的，比较方便。', 'star': 5}
{'descr': '整体来讲没有我想象的好，之前我是寄予厚望的，但是感觉有点一般，门脸太小了，离地铁倒是蛮近的，但是酒店给的地图上并没有标清楚酒店的具体位置，我不是坐地铁去的，绕了一大圈才找到。设施一般，不好也不坏，房间应该没有28㎡吧，这点有点夸张。服务还可以，但是不能刷卡太不方便了，整体评价还是那两个字，一般。', 'star': 5}
{'descr': '酒店整体是以红色为基调的暖色调空间，让人感觉很温暖，也有一种安全感。适合情侣住宿，也适合独自旅游的人在这里逗留。给人一种温馨之中透着些许神秘的感觉。是比较值得一住的地方：）', 'star': 5}
{'descr': '工作人员的态度没得说的好 就是床垫比较薄能感到里面的弹簧 还有就是隔音不太好 不过很多酒店隔音都不行的 所以希望以后入住的朋友们电视不要开那么大声哦~~\r\n作为情侣酒店 那张大圆床还是不错滴~', 'star': 5}
{'descr': '服务很好！房间设施很新颖！', 'star': 5}
{'descr': '干净,价格合理,尤其是位置很方便,就挨着城铁;性价比还是很高的;', 'star': 5}
{'descr': '很有特色的一家酒店，很适合情侣入住（我住的房间卫生间都是用玻璃做的隔断）。如果不是情侣的话会很尴尬……貌似并没有楼上几位所说的隔音问题和服务态度问题。我们住得时候很安静，服务也很热情。位置也不是很难找，挨着13号光熙门站。以后肯定会常去。希望以后还会有色彩连锁（蓝），色彩连锁（绿）之类的。', 'star': 5}
{'descr': '酒店的位置不是特别好找，不过整体来说他们的价格，和硬件设施都还是不错的，挺好，人员的服务和环境卫生情况都不错。', 'star': 5}
{'descr': '这家酒店是一家很有主题色彩的酒店，装修风格也很时尚，性价比很好，就是位置有些远', 'star': 5}
{'descr': '服务都很好，酒店位于地铁边上的，出行很方便，唯独房间的床有点硬，不是舒服', 'star': 5}
{'descr': '我们是觉得酒店的主题房比较有特色，所以选择了这里，到那边感觉他们的设施真的是很不错，而且前台和服务生的服务都很好，就是特色房的纱帐安装不是很牢固，又比较长，所以坐在床上的时候压到纱帐就掉下来了，跟服务人员说了以后，他们的态度很不错，也询问我们是否受伤，中间就是有这样一个小插曲，其他的也没什么了，最后就是他的位置停车不方便，停车费按小时收取，没有自己的停车位，但是如果坐城铁去很方便，走的时候我们也办', 'star': 5}
{'descr': '因第一次去，位置不是太好找，其它各方面的服务都还不错', 'star': 5}
{'descr': '环境不错，干净整洁，服务有不错，就是灯光太暗了，位置也有点偏', 'star': 5}
{'descr': '酒店服务还不错 设施挺好 位置还算可以 性价比不错 但唯一遗憾的是卫生服务不到位 我上次入住2天 第二天续房我就出去了 走的时候我还特意交代了要把卫生打扫下 还在门口挂了要求打扫卫生的牌子 可晚上回来 却都没人进去过 还有就是整套 被单 之类的应该及时清洗 哎 或许北方都不习惯天天清洗吧 ', 'star': 5}
{'descr': '酒店的环境硬件设施都挺好的,环境卫生也都很不错,价格很优惠.地段出行都非常好.值得推荐的酒店类型.', 'star': 5}
{'descr': '酒店很具有特色,色彩搭配的也很不错,而且交通位置也比较好,还是挺满意的', 'star': 5}
{'descr': '酒店确实挨着城铁，交通比较方便，但是城铁出来，酒店附近都没有明确的指示牌或者是招牌，希望可以改善一下，其他来说，酒店还是比较有特色，住了几天感觉不错，服务也挺好的。', 'star': 5}
{'descr': '地址很难找 门口招牌不好找  让你以为是家环境什么都不是很好的酒店  但当你走进店门的时候 给你感觉很舒服很浪漫  然后有热情的招待 舒服死了  进入房间 给你看到的是大大的圆床  总之  这家酒店真的很棒 ', 'star': 5}
{'descr': '补充二点：它家不能刷卡！很，，，，，，\r\n楼下吃的不错，经济实惠！', 'star': 3}
{'descr': '环境布置得很浪漫，不错，这点值得推荐，但房间隔音极差，楼道里只要有人走路或说话，就跟在我的房间里说话的感觉一样，一点隔音都没有。\r\n床型的风格不错，但太硬了,床垫用手能摸到弹簧。如加上更浪漫的水床或电动床、都是可以参考的；\r\n2个人入住的房间应该配备2条浴巾和小毛巾，两个人用一条有点太不好，向服务生又要了一套，态度还不错！\r\n最有意思的是，饮用的开水必须要向前台提出申请，否则房间默认是不提供饮用水', 'star': 5}
{'descr': '环境布置得很浪漫，不错，这点值得推荐，但房间隔音极差，楼道里只要有人走路或说话，就跟在我的房间里说话的感觉一样，一点隔音都没有。床型的风格不错，但太硬了。2个人入住的房间应该配备2条浴巾和小毛巾，两个人用一条有点太不好呼，位置不太好找，有点偏，出租司机都说不好那叫什么地。交通还算方便，总的来说还可以。', 'star': 5}
{'descr': '我感觉不是商务型酒店 ，提供的上网的设施，如果是上网的人多了，网速就很慢，酒店的红色装修我很喜欢，价格也优惠，还有房间没有烧热水的壶也没有饮水机，要喝热水要到前台去，如果是晚上想吃个方便面什么的，要用热水泡就不方便', 'star': 5}
{'descr': '酒店入住时都赠送小礼物,感觉挺有意思的,而且酒店也比较有特色,就是价格贵了点', 'star': 5}
{'descr': '房间面积比较小,环境硬件设施比较一般,感觉硬件配套设施不是很全,位置附近有地铁站,但是酒店位于旮旯里的,不是很好找.', 'star': 5}
{'descr': '酒店的服务环境还不错，配套的设施也比较好，感觉挺有特色的，但是他的床单被套感觉有点破旧，应该及时更新，而且门脸比较小，不太好找，总体来说还是不错的。', 'star': 5}
{'descr': '位置有点偏，出来交通还是挺便利的，酒店没有停车场，如果是自驾去停车不方便，价格还是挺优惠', 'star': 5}
{'descr': '除了地方不好找 别的都不错，服务也很热情，酒店设施做的也很用心。', 'star': 5}
{'descr': '位置太偏 门面招牌又太小 找到门口都没看出来是个旅馆\r\n另外床垫用手能摸到弹簧 靠枕看起来不干净\r\n隔音也是问题\r\n舒适度一般 性价比一般\r\n其实本身的定位很好 很独特 但有待改进的确实很多\r\n服务态度很好 ', 'star': 1}
{'descr': '酒店的位置不错，离国展很近，服务，环境都不错，设施也挺新的应该刚开没多久', 'star': 5}
{'descr': '酒店比较有自己的特色,进入房间之后就有一种很舒适的感觉,而且也很干净,价格也比较便宜', 'star': 5}
{'descr': '服务卫生还是挺不错的,价格也慢适合的,就是办理手续不能刷卡,网络都是挺先进的无线上网,但是不太稳定了.', 'star': 5}
{'descr': '酒店风格还不错,比较特色,地理位置也挺不错的,离地铁很近,价格也很优惠,但是房间里电视收讯不好,不清楚,好像不是数字电视', 'star': 5}
{'descr': '酒店的环境硬件根价格比较成正比,位置出行很方便,服务卫生也很好.', 'star': 5}
{'descr': '标识不是很明显,其实位置出行还是比较方便的,酒店的硬件设施舒适度都还不错,价格也很实惠.', 'star': 5}
{'descr': '酒店还是比较有特色的,而且周围的交通也十分便利,价格也便宜,挺不错的', 'star': 5}
{'descr': '酒店确实不适合初到北京的旅客入住，而且LOGO小的可怜，很难找啊，晚上门口也没灯，白天第一次来让我走过了，晚上回去太黑没看到门又走过了一次。\r\n说好的吧，我是带外省女友来住的，她很满意。现实条件和照片没什么区别，很又情趣，也比较卫生（只住过主题房，所以只针对主题房而言，其他不知道~~）如果是带女友，我下次还会去，如果其他情况，我不会入住了。绝对只适合情侣', 'star': 5}
{'descr': '酒店位置比较偏,不太好找,打车过去的时候就连司机都不知道,不过酒店还是挺不错的,很有特点,很舒适年轻人,而且价格也比较优惠', 'star': 5}
{'descr': '服务态度非常好 服务人员的素质很高 房间比预想的要好的多 情侣住再适合不过了 很喜欢这种个性的现在酒店 希望你们做的更好 以后还会再去', 'star': 5}
{'descr': '感觉酒店有自己的特色，也比较干净，服务也不错', 'star': 5}
{'descr': '挺有个性的一家酒店~~呵呵,挺情趣的哦', 'star': 5}
{'descr': '在这里住了3个晚上，房间和图片一样的好，卫生也非常好。有一次半夜回来洗澡的时候水还是非常热。服务员态度很礼貌。因为在居住区，晚上不会很吵。就在地铁光熙门站对面，非常好找啊，去哪儿也方便。以后还会住的。听说要开分店，非常期待。 不过卫生间是透明的，上厕所的时候有一点小尴尬，因为去的时候只有这一间屋子了，据说不同的屋子设计会不一样所以别的屋子可能不是透明的。', 'star': 5}
{'descr': '招牌太小了，不好找', 'star': 5}
{'descr': '整体都挺好，位置便利，靠近三环，价格不贵', 'star': 5}
{'descr': '整体来说还可以了,就得房间空调供暖不好,中央的控制的,房间里的遥控根本不管用.', 'star': 5}
{'descr': '这个是主题酒店，他整体的设计风格，硬件感觉都很不错，就是服务人员有点少，其他都还不错。', 'star': 5}
{'descr': '酒店的位置不是特别方便，也不算是挨着地铁，环境设施还不错，主题酒店很有特色，价格也可以接受，挺不错。', 'star': 5}
{'descr': '设施好，服务好，交通好，强烈推荐', 'star': 5}
{'descr': '卫生．设施还不错就是所在位置比较偏僻不大好找．在居民区里，不过还蛮适合休息的．比较安静．', 'star': 5}
{'descr': '是前一阵入住的这家酒店，房间很有特色，很干净，就是我住的那间电视信号不太好，时不时地就成一片雪花了，还有就是房间温度有点低，把空调开到最高温仍沿觉得有点凉，不过服务真的很热情，有机会还是会去的', 'star': 5}
{'descr': '酒店都还不错,服务态度挺好的,而且房间也比较干净舒适,价格也很合理', 'star': 5}
{'descr': '床有点硬，住的第三天屋里有异味，可能是地漏反味儿，房间有点冷。别的都很好，干净，舒适，交通饮食也都算方便，总体来说性价比比较高。有机会还会去住。', 'star': 5}
{'descr': '酒店的位置稍微有点偏，旁边只有地铁，如果地铁没了，交通很不方便，不过整体来说酒店很有特色，以红色为主色调，服务设施也不错，值得尝试。', 'star': 5}
{'descr': '酒店的环境设施都很好,环境也很干净很舒适,位置出行也很方便,价格也优惠.', 'star': 5}
{'descr': '总的来说还可以，就是卫生间早上的时候有怪味让人有点受不了，另外，客人喝的热水能提供给客人自己烧的话会更方便些，虽然酒店免费送，但是在深夜时想喝热水，实在不好意思麻烦服务人员，所以不是很方便。', 'star': 5}
{'descr': '酒店的价格比较便宜，而且服务很好，设施和环境比较一般。', 'star': 5}
{'descr': '酒店还是有一点特色的,环境设施都还可以,就是太不人性化了,我要求换房间,酒店就是不给换.对服务很不满意.', 'star': 5}
{'descr': '抱着试试的态度住了一晚，发现并没有想象中的好，感觉很一般，服务不是很到位，浴巾只提供一人份，这实在无法理解，舒适程度也不如一般的连锁经济型酒店，唯一的特点就是所谓的“色彩房”，但是价格与如家持平的话，性价比实在不高，如果有半价房的话，最多也只能当作休闲房了。', 'star': 1}
{'descr': '跟网上图片差不多，感觉还行，设施环境不错，就是卫生间感觉有怪味，希望多注意。交通比较便利，离地铁站很近', 'star': 5}
{'descr': '房间里很冷,空调一点也不好,环境设施比较差,位置也不好找,在一个居民楼里就一层.下次绝对不会再次入住这家酒店.', 'star': 1}
{'descr': '酒店的位置对我很方便，不过当时住的房间里的电话是坏的，我住的3天的时间第2天出门回来，房间都打扫多很干净，就是毛巾没换，整体感觉还行', 'star': 5}
{'descr': '酒店的服务卫生都挺不错的，价格也挺实惠的。', 'star': 5}
{'descr': '今年8月份刚开张的一个小酒店，门脸儿不大，logo不明显，确实不太好找，但是进到里面，服务人员很热情，房间很干净，布局也不错，尤其是沙发、床、靠垫、纱帘等等，全部都是红色的，感觉很浪漫，非常适合情侣们在特殊的日子里特别的享受一次！', 'star': 5}
{'descr': '酒店经济实惠，交通方便，性价比高', 'star': 5}
{'descr': '酒店不太好找，但是房间还不错', 'star': 5}
{'descr': '是个居民楼改建的宾馆，老式暖气片供暖，冬季室内温度低，我险些冻感冒，亏得体质好；隔音不好，夜间街道上的行车声很大，走廊里的声响听得很清楚；地点位于小街道里，且门脸很不起眼，出租车司机都找不着。', 'star': 1}
{'descr': '性价比超高的一家酒店 由于业务频繁 预定了几次都因为事情最后只住了两晚 有些遗憾 服务周到', 'star': 5}
{'descr': '酒店的环境有点不好，房间里有装修材料气味。隔音效果不太好，位置在胡同里不好找，酒店主要的优势是硬件设施挺好的，服务也不错，价格也实惠，值得推荐', 'star': 5}
{'descr': '酒店的服务挺热情周到的，装修也挺温馨别致的。价格也挺适合的。', 'star': 5}
{'descr': '酒店的比较有特色，性价比高，服务也很好，有点欠缺的地方就是酒店的门牌标志不明显，不好找', 'star': 5}
{'descr': '看了评论还是不放心，亲自去看了房间，果然和照片刊载的无二。而且网上对客人的一些限制也没有那么苛刻（例如信用卡什么的）。在入住的过程中也感到客人的评论是真实可信的，没有什么问题。不过关于停车位，由于对面就是光熙门城铁站，下面有两个很大的停车场，夜间每小时5角，白天每小时2元，可以承受，也很安全。房间内没有烧开水的装置，算是一种缺憾，中国人喝茶的还是多嘛，虽然前台供应开水，但是总觉不便，特别是晚间。周', 'star': 5}
{'descr': '酒店位置挺偏的，不过房间里的装修设施感觉挺浪漫的，我觉得适合年轻人。', 'star': 5}
{'descr': '酒店的房间装饰的挺有特点，感觉非常温馨的,服务方面也还可以,价格也挺实惠的,就是酒店不太好找,我是个老北京人开车遛了两圈没找着门口.希望酒店能给客人注明一下路线或周边有什么标志物.', 'star': 5}
{'descr': '酒店很新,风格很适合年青人,价格也很便宜,但是酒店房间不是很多,订房比较紧张', 'star': 5}
{'descr': '酒店装潢挺有特色的,价格也实惠,但房间里不提供饮用的热水,酒店有些绕不是很好找', 'star': 5}
{'descr': '酒店房间布置很好很温馨。服务卫生也挺不错的，就是位置稍微偏远点但交通还是挺方便的，价格也还可以。', 'star': 5}
{'descr': '酒店的地理位置很好，附近地铁很方便，不过酒店内部设施太糟糕了，当时我入住还送了瓶红酒，但感觉红酒是假的，反正酒店不是特好', 'star': 1}
{'descr': '地理位置挺好的,比较适合商务人士入住.短途出差的人士', 'star': 5}
{'descr': '地理位置挺好的,比较适合商务人士入住.短途出差的人士', 'star': 5}
{'descr': '环境不错，服务也好，就是出行不方便', 'star': 5}
{'descr': '屋里不能烧开水，房间布局新颖，环境还可以', 'star': 5}
{'descr': '总体感觉很不错，很干净舒适，经济实惠，也很符合我的要求，有机会会再次选择', 'star': 5}
{'descr': '&lt;font color=&quot;Black&quot;&gt;&lt;font size=&quot;2&quot;&gt;&lt;font face=&quot;黑体&quot;&gt;酒店的浪漫感觉让人心醉，圆床加上玻璃吊顶，红色的浪漫色彩，整体透明的感觉，是情侣的最佳选择。可以随意看DVD及书籍杂志，服务态度也很好，只是酒店新开张服务的还不够周到，电视的信号也不是很好，房间也不是很', 'star': 5}
{'descr': '酒店性价比很高，感觉非常的好,就是不很好找,浪漫的让人回味良久,不可多得的地方,希望以后经营的越来越好。', 'star': 3}
{'descr': '房间打扫的不勤，别的都行，价格优惠。位置方便', 'star': 5}
{'descr': '位置有点偏，房间格局不太好，服务是挺好的', 'star': 5}
{'descr': '性价比很高的酒店，位置闹中取静，门脸很小不太好找，但是推门进去感觉非常温馨，服务员态度温和令人舒服，房间布局合理设计感很强，由于刚开业不久，东西都很新。主色调红加灰，很有活力。洗手间木吊顶灰墙面很有个性。有两点不足，一是前台无法刷卡，二是没有停车位。', 'star': 5}
{'descr': '酒店比较小，房间也不多，但设计很讲究，特别是圆形的床和红色调的风格很独特，就是不能自己在房间里烧开水，喝热水不太方便，没有放东西的地方，总体还算不错，适合年轻人短途旅行入住', 'star': 5}
{'descr': '酒店性价比很高，房间及走廊设计味很浓，有点酒吧的感觉。入住时由于没房直接升级到豪华间，圆形大床并且是吊床感觉很有情趣，床上面还有镜子。卫生间通透的，从卧室可以看到淋浴间。适合年轻情侣入住。', 'star': 5}
