{'descr': '精力实惠  随便住住还是可以接受的', 'star': 5}
{'descr': '房间没有一次性用品，询问前台说可以单买，说是公司宣扬环保理念，但是组团入住可以提供！房间内也没有普通拖鞋，洗完澡赤脚上床，宣传环保理念普通拖鞋总可以提供吧，实为变相收费而已！', 'star': 1}
{'descr': '适合商务', 'star': 5}
{'descr': '可以考虑再住', 'star': 5}
{'descr': '我住的99的大床，没有窗，空调和换气一直开着。有点点闷。布置的不错，而且很干净。就这个价位而言，性价比很高。不过隔音差了点。晚上走廊上的声音很清楚。有素质不高的客人，就会被吵到。', 'star': 5}
{'descr': '条件还可以，只是不提供一次性的洗漱用品，其他都还可以。', 'star': 5}
{'descr': '设施一般，性价比高', 'star': 3}
{'descr': '条件一般，性价比高', 'star': 5}
{'descr': '其他都好，就是房间没有窗户，有点闷。', 'star': 5}
{'descr': '很干净，很适合年轻人旅游住。顶！', 'star': 3}
{'descr': '听同事说汉庭海友客栈不错，还算干净。可是我住的房间烟味实在是太大了，害我一整晚都没睡好，隔天头晕晕的。', 'star': 1}
{'descr': '因为去的匆忙，所以酒店很难定。后来偶然发现了海友客栈，就抱着试试看的想法定了一间。刚开始找的时候费了好大的劲，后来给客栈打电话，然后转了个圈圈才找到。不过，环境真的很好。虽然房间小点，但是设施很齐全。住的很舒服也很满意，以后去南京就住那里了，交通还方便。推荐！', 'star': 5}
{'descr': '适合背包客  大学生 比较青春 ', 'star': 5}
{'descr': '还不错吧', 'star': 5}
{'descr': '位置很好，出门很方便，靠近湖南路步行街', 'star': 5}
{'descr': '房间太小，抹不开身，大概5平方左右', 'star': 1}
{'descr': '各项情况都非常好 细节方面做得很好 墙上的壁画也很温馨 整体方面都非常好 屋里设施也很好', 'star': 5}
{'descr': '酒店不错。干净', 'star': 3}
{'descr': '房间不错，干净舒适，没有洗漱用品不好，而且没有热水器和杯子，没法自己烧水喝', 'star': 5}
{'descr': '   酒店不错.', 'star': 5}
{'descr': '性价比不错，值得银子不多的朋友来考虑', 'star': 5}
{'descr': '很不错，适合学生住！', 'star': 5}
{'descr': '装修我很喜欢,服务很热情,但是要注意没有洗漱用品,这个比较麻烦,但是支持环保了,赫赫', 'star': 5}
{'descr': '隔音很差 半夜有客人煲电话粥没有服务人员管。', 'star': 1}
{'descr': '卫生干净,非常便宜,还可免费限时上网,只是房间小了点,没窗', 'star': 5}
{'descr': '预定之前其实还是很有点犹豫的，因为点评的人数不多，又有很多人都说不好，但是时间紧迫预算又有限，所以最终定下了99块的特价房。\r\n到了地方一看，还是很喜欢这样的气氛的。一楼还有参观房，看了下觉得还是可以的，就住下了。一共住了三天，对我来讲唯一的不适就是没窗子确实有点闷，每天要开一会儿门通风。另外就是除了地巾不再提供任何物品，毛巾牙刷都要自己带的。不过对于我来讲倒是无所谓，本来就是支持环保嘛~~\r\n总', 'star': 5}
{'descr': '房间实在太小，什么物品都要自带，很多物品全是公用的，并且有很重的油漆味，估计才装修的，而且没有窗户，味道很难散掉，没有一点新鲜空气，所以晚上睡觉很难受，很闷，出一身汗，房间无独立卫生间，夜里老有人去外面的卫生间，不停的锁门、开门，一点也不隔音，吵得没法睡觉，当然价格还算便宜。', 'star': 1}
{'descr': '还不错，蛮适合年轻人的\r\n', 'star': 5}
{'descr': '很漂亮，虽然房间有点小，但还是很温馨的', 'star': 5}
{'descr': '房间还好，蛮精致的，价格也好，最不好的一点就是房间里面太闷了，空调很差！', 'star': 1}
{'descr': '便宜，位置还不错，性价比不错', 'star': 5}
{'descr': '房间是朋友帮着订的，进住发现房间太小，对我这种出短差的人，洗漱用品当然自己不带了，这一不提供，我就得自个儿去买了，对于轻装上阵的朋友们要注意啦', 'star': 1}
{'descr': '性价比高，就是隔音有点不好，晚上有点吵！', 'star': 5}
{'descr': '虽然感觉房间小了点，但还是住得满意的，下次来还住这里', 'star': 5}
{'descr': '不错，物有所值', 'star': 5}
{'descr': '这个价位在这个地区应该算是不错了', 'star': 5}
{'descr': '很干净啊，很好啊，和所有汉庭的标准时一样的。就是有点不隔音，面积小，其他真的很好啊，', 'star': 5}
{'descr': '住得套房，小巧客人，比较适合一个人旅行时住，还不错，大厅环境比较赞，很温馨', 'star': 5}
{'descr': '不好。不推荐', 'star': 3}
{'descr': '非常差。。。', 'star': 3}
{'descr': '价钱和房间比较相符，卫生条件还好，住上去感觉还不错。', 'star': 5}
{'descr': '最大感觉就是小，门一推开就是床，开始的时候感觉特别压抑，哈哈，但是那个位置价钱也只能讲究下了，但是外面玩的还是蛮舒服的。', 'star': 1}
{'descr': '住的是那个榻榻米的房子，在二楼，外观跟楼下的娱乐设施都很休闲，有吧台的感觉。找房间的时候迷路，出来的时候两次迷路，这是不好的地方。里面住的倒是简单但也实用，那里据说不提供网线，上网的要自己带着，饮用水跟吹风机都是在走廊里公用的。隔音有点儿差，不过在傅厚岗那里也难得闹中取静的地方，还可以。晚上可以到一楼休闲玩玩的。', 'star': 5}
{'descr': '非常差。。。不如住99的莫泰', 'star': 1}
{'descr': '好挤啊', 'star': 1}
