{'短评内容': '还不错，特价的时候买的', '短评打分': 5}
{'短评内容': '真正大自然的感觉，和动物溶为一体，空气清新，游乐好地方', '短评打分': 3}
{'短评内容': '１、今年的房价比上年贵了２００块，并且不送餐卷和饮料卷，实际贵了３００块。\r\n２、自助早餐品种减少，量也少，而且吃完不补。最令人讨厌的是，酒店规定０.７米以上的小孩早餐要５５块。０.７米是什么概念？简单说就是一个正常发育且未戒奶的７，８个月大的婴儿就不止０.７米！大家说婴儿能吃些什么？而且服务也跟不上，煎个蛋都要排５分钟队，一到十点就关灯收夹子赶客，十分不爽。\r\n３、酒店放免费饮用矿泉水２瓶的地方', '短评打分': 1}
{'短评内容': '已入住，酒店不错。', '短评打分': 5}
{'短评内容': ' 酒店不错', '短评打分': 5}
{'短评内容': '+', '短评打分': 5}
{'短评内容': '很好。', '短评打分': 5}
{'短评内容': '价格贵了点,而且没有套票配送就不爽啦，早餐还可以。', '短评打分': 1}
{'短评内容': '+满意', '短评打分': 5}
{'短评内容': '酒店不错!', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '价格偏贵了点。。。。，\r\n其他都挺不错的，值得推荐。。。', '短评打分': 5}
{'短评内容': '性价比不高，入住及结帐都要排长队，没沙发休息，站得脚都痛', '短评打分': 3}
{'短评内容': '相比附近其它酒店，性价比要差多了。入住跟结帐都要排老长的队伍，也不安排些沙发，站的脚都酸的', '短评打分': 1}
{'短评内容': '建议自助餐种类可以少点,但要提高食材档次及口感,且供应要足,不要让客人等太久.应给住客提供更优惠的套票.', '短评打分': 3}
{'短评内容': '位置好,但平日房价贵,自助餐种类虽多可惜用料低档口味一般,好点的食物要等,座位多但显拥挤,早餐秩序乱且耗时等位.住店购门票没优惠很不爽.', '短评打分': 5}
{'短评内容': '這裡就是玩的天地，空氣特好，環境也不錯，在餐廳可以跟老虎，丹頂鶴一齊共餐，真的好像跟動物融為一體。不過餐廳用餐的人多經常安排不了窗邊位，要早到才有喔！！！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不值那么多钱   偏贵', '短评打分': 5}
{'短评内容': '很适合度假时居住，有赠送的公园门票，就是房间价格便高，去市区不方便。', '短评打分': 5}
{'短评内容': '这里真的好美啊，空气特别清新', '短评打分': 5}
{'短评内容': 'the Hotel is good and close to the theme parks, everything is good except many guests in the hotel and need to wait for a long time to be seated when taking breakfast.', '短评打分': 5}
{'短评内容': '不错，卫生不错，餐饮部的服务不够专业！价格有些贵，尤其是含套票的那种！', '短评打分': 5}
{'短评内容': '性价比低，前台人多，慢！小孩超70CM高，早餐就要收费55元，半岁能吃什么呀？！管理太不够人性化了！', '短评打分': 3}
{'短评内容': '性价比低，前台人多，慢！小孩超70CM高，早餐就要收费55元，半岁能吃什么呀？！管理太不够人性化了！', '短评打分': 3}
{'短评内容': '性价比低，前台人多，慢！小孩超70CM高，早餐就要收费55元，半岁能吃什么呀？！管理太不够人性化了！', '短评打分': 1}
{'短评内容': '酒店B区房问较旧,西餐厅自助先付费感觉不正常,有一千座位吃早餐要排长龙,其他工作人员很友善、态度非常好', '短评打分': 5}
{'短评内容': '早餐很丰富，就是价格小贵，性价比不高', '短评打分': 3}
{'短评内容': '性价比不高，东西偏贵，但服务不错，环境也不错', '短评打分': 3}
{'短评内容': '环境还不错，就是前台确认等待时间太长，可能生意太好的缘故。消费也比较贵，但服务还不错。', '短评打分': 5}
{'短评内容': '条件还好，感觉价位比较高。', '短评打分': 5}
{'短评内容': '房间的床单感觉是湿的；因为出去不方便，门口穿花衣服的酒店工作人员就和开黑车的司机相勾结着宰住客，出租车跑近的地方只讲价不打表，跑机场到是打表，但会向你多收38元的回程过路费；房价太高，我周六住的标间要1298元/晚；建议：外地游客可以住市内的宾馆租车到长隆来玩，千万不要住长隆酒店，否则你会后悔的！', '短评打分': 1}
{'短评内容': '酒店房间内部设施一般,性价比不高,到了前台要求升级为狩猎家庭房,加了150元,在新区,但感觉跟1648的价格比,有点贵.\r\n但要在附近玩可能也只能如此.', '短评打分': 5}
{'短评内容': 'bucuo', '短评打分': 5}
{'短评内容': '很好，比较贵。', '短评打分': 5}
{'短评内容': '环境非常不错，但是内部设施离五星级还是有差距。床铺的舒适度较差，早餐的丰富度也不够。', '短评打分': 5}
{'短评内容': '长隆酒店确实非常舒适！前往各个景点非常方便！我住的是彩蝶谷客房。下楼后面就是水上乐园。还有酒店住客的专用通道。价格嘛。。。也确实不便宜！', '短评打分': 5}
{'短评内容': '适合一家度假，有吃有玩有表演看，大马戏值得推荐，野生动物园也不错，水上乐园小孩比较喜欢，欢乐世界孩子小了点没带去。不足之处是房间隔音较差，我们住的是狩猎房，走廊及隔壁房的声音都能听到。', '短评打分': 5}
{'短评内容': '很不错的一家酒店，下次来还住', '短评打分': 5}
{'短评内容': '不错的酒店!如果餐饮与娱乐给予一定优惠更好!', '短评打分': 5}
{'短评内容': '适合家庭度假', '短评打分': 5}
{'短评内容': '长隆酒店不错的', '短评打分': 5}
{'短评内容': '一家出行的很好的选择,4大主题公园值得一去, 酒店有免费穿梭车提供服务. 有机会还回去玩. ', '短评打分': 3}
{'短评内容': '非常有特色的酒店， 在餐厅就可以看到白老虎， 花园也很好。 还有漂亮的鸡蛋花！', '短评打分': 5}
{'短评内容': '酒店环境很好，假期带着孩子全家到长隆度假入住该酒店是不错的选择', '短评打分': 3}
{'短评内容': '到长隆四大主题公园游玩，入住长隆酒店是最佳选择，每晚都送两张题公园门票，方便又舒适。', '短评打分': 5}
{'短评内容': '酒店本身硬件和软件都不错，感觉同东南亚的高级度假酒店，港澳同胞特多。虽然价格偏贵，但是周边配套的5大主题乐园非常适合同家人度假游玩，总体来说还是蛮值得去的。', '短评打分': 5}
{'短评内容': '环境真的很好。', '短评打分': 5}
{'短评内容': '很有特色，条件很好。', '短评打分': 5}
{'短评内容': '我原本是预订标准房的（旧翼），谁知到酒店登记后告知免费升级到新翼的房间，让我欢喜万分，房间非常舒服，各方面都很满意！', '短评打分': 5}
{'短评内容': '绝对一流的酒店！！！！！！！！！！', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '公园内的酒店真好，空气新鲜，娱乐活动多，酒店设计特别，可以在老虎边上吃饭独一无二吧。缺点是酒店太大，容易迷路。', '短评打分': 3}
{'短评内容': '长隆酒店我很喜欢，酒店的一切豪华配套娱乐休闲多，值得全家来度假，当然800多元的房价是较高，还有个缺点是房间隔音不好，尤其是老楼，走道铺的是地砖，走道上的声音严重传到房间内。', '短评打分': 5}
{'短评内容': '酒店设施是不错，就是服务不到位。员工责任不清楚，一个事情要自己跑来跑去，服务员做事不积极。', '短评打分': 5}
{'短评内容': '环境非常好,早餐品种多.即使是景区里的酒店,也算是非常不错的酒店.', '短评打分': 5}
{'短评内容': '   该酒店位于度假区内，酒店的环境很好，设施也不错，唯一不足的是服务跟不上，入住、离开酒店办理时间过长，就餐服务人员严重不足，服务人员培训不够。', '短评打分': 5}
{'短评内容': 'Only problem that , Internet can not be used with Apple computer , but in lobby of that hotel Apple computer was getting signal, while in room it was having problem. \r\n', '短评打分': 5}
{'短评内容': '值得一住', '短评打分': 5}
{'短评内容': '总的还可以', '短评打分': 5}
{'短评内容': '除了房间略显陈旧，其他的都很好，儿子很喜欢。', '短评打分': 3}
{'短评内容': '酒店的配套设施很健全，只是由于酒店和景区的规模太大了，穿梭巴士不够密集，遇不上的话要走很长的路。', '短评打分': 5}
{'短评内容': '酒店位置设施都很好，距离游玩景点也很近，非常方便舒适。但彩蝶轩美食服务员服务不好，可能人太多，但还是希望能改进。', '短评打分': 5}
{'短评内容': '超一流酒店，就是一个字爽。', '短评打分': 5}
{'短评内容': '酒店卫生条件不错\r\n每次入住，感觉都不错', '短评打分': 3}
{'短评内容': '酒店入住率很高！还有很多明星呢！', '短评打分': 3}
{'短评内容': '交通还行，酒店很有特色！', '短评打分': 5}
{'短评内容': '我很喜欢广州长隆酒店, 卫生, 服务, 设施,位置,都很好', '短评打分': 5}
{'短评内容': '休闲度假的不错选择', '短评打分': 5}
{'短评内容': '酒店很不错, 酒店和观光点非常近\r\n服务一流, 只是有点大, 容易迷路…呵呵, 迷路时可向酒店职员垂询\r\n值得一赞的是, 她们解答后, 回以微笑回报, 令客人感觉舒服, 很好\r\n另外, 房间极度整洁和员工手法很好, 不贪心, 不错\r\n唯, 白虎西餐厅有点偏贵, 食物感觉一般, 可能主要卖点是观赏白虎吧\r\n最后, 个人建议买套票时, 酒店送的, 应选马戏表演……嘻嘻\r\n', '短评打分': 5}
{'短评内容': '酒店总体不错，但自助餐成人98元外加15%费用偏贵', '短评打分': 5}
{'短评内容': '总体还不错，除掉春节价格大涨的因素，还算是满意的。\r\n    酒店规划不错，硬件应该和迪斯尼乐园酒店以及威尼斯人不相上下，在地理位置和配套游乐设施上应该算更甚一筹了，但是感觉在管理上还是不能和国际接轨。有可能我们是春节旺季入住的缘故吧，所以没有体验到被服务的感觉。比方这么件小事，当时我电话问酒店有没有金霉素眼药膏提供，被告知只有在医务室才有，需要自己去取，并且要支付8元钱。感觉这类常用药，5星级酒', '短评打分': 5}
{'短评内容': '除了房间小了点，其他的都很好。白虎餐厅很有特色，酒店装修也很有风格。下次来长隆还会住这里。', '短评打分': 5}
{'短评内容': '服務一般', '短评打分': 3}
{'短评内容': '服務一般', '短评打分': 5}
{'短评内容': '一家人来度假还是很不错的，就是床头上那木人表情怪怪的，这种装饰让人不太舒服。', '短评打分': 5}
{'短评内容': '酒店的外部环境一流,不愧于&quot;最佳主题酒店&quot;称号.但房间内部相当一般,感觉落差很大.我住的是2区,属于老酒店区,订的标准双人间,可能是因为天气潮湿的缘故,房间内有一股霉位,客房设施十分简陋,应该都还是10年前的家具,电视机可以当老古董了,卫生间空间也不大,没有浴缸,连防滑垫也没有配.最差是是沙发和床靠背,太陈旧了,感觉不太干净,和五星酒店品牌完全不相称.好在酒店上网方便,总算找回', '短评打分': 1}
{'短评内容': '硬件价格都不错,但是员工缺少五星酒店应该有的基本素质,无论前台还是餐厅都对客人不够热情.', '短评打分': 5}
{'短评内容': '房间很吵，好象是冰箱还是什么水声？与前台沟通后好象依然没效果。不知其他的房型如何。', '短评打分': 5}
{'短评内容': '酒店价格合适，住房条件也不错', '短评打分': 3}
{'短评内容': '酒店服务不错，离旅游景区很近', '短评打分': 3}
{'短评内容': '很有风格的酒店', '短评打分': 5}
{'短评内容': '酒店很好。房间很大，早餐也很好。要是能有优惠门票买就更好了。', '短评打分': 5}
{'短评内容': '很有特色，服务不错，适合家庭旅游居住', '短评打分': 5}
{'短评内容': '酒店内设施完善，加上有白老虎等动物展示，算是很适合阖家大小入驻的酒店。加上入驻赠送两张游乐园门票，一米二以下小朋友免费入场，都非常让我惊喜。', '短评打分': 5}
{'短评内容': '舒服！', '短评打分': 5}
{'短评内容': '还不错,顺便可以休闲放松一下', '短评打分': 3}
{'短评内容': '还不错,就是这个时节贵了点', '短评打分': 5}
{'短评内容': '装修豪华，环境优雅，促销期间还有主题公园送票活动，的确是个短途旅游的好去处。', '短评打分': 5}
{'短评内容': '不错的酒店,下次还会去.', '短评打分': 5}
{'短评内容': '还不错，春夏还可以游泳', '短评打分': 5}
{'短评内容': '能入住这家这么有特色的酒店真好，还靠近几个主题公园，方便。还有门票送，是不错的选择哦。连门票还不算好贵。', '短评打分': 5}
{'短评内容': '五星标准，价钱也还合适，离旅游景区很近，度假很适宜！\r\n\r\n本人推荐！住宿条件好，而且酒店风格很特别！', '短评打分': 5}
{'短评内容': '环境很好，适合带孩子家人度假。', '短评打分': 3}
{'短评内容': '酒店环境不错，酒店的附带项目也不错，适合带孩子度假。', '短评打分': 5}
{'短评内容': '位置有些偏远，空气好，适合旅游度假，不适合商务', '短评打分': 3}
{'短评内容': '环境很好，酒店里的食物出品不错，自助餐厅超大。唯一不满的就是游泳池的更衣室太小，而且服务不到位。总体而言这酒店蛮适合度假的', '短评打分': 5}
{'短评内容': '酒店不在市区,交通不方便,环境还不错.设施齐全,卫生服务很不错.', '短评打分': 3}
{'短评内容': '环境非常不错的一个酒店。很安静，有种重回大学的宁静', '短评打分': 5}
{'短评内容': '前台服务不好，光登记就等待了将近一个小时！有点店大欺客的感觉。环境不错，但是距离市区太远，只适合去长隆旅游。', '短评打分': 5}
{'短评内容': '很有特色的一间酒店。环境舒适服务也很到位。', '短评打分': 5}
{'短评内容': '作为一个新兴的主题酒店，入住时首先对酒店的环境赞一个，酒店鸟语花香，绿树环绕，每到一处都能听到潺潺流水声。因为直奔着长隆欢乐园、水上世界、大马戏而去，入住两个晚上，我和老公两人一人送了两个地方的门票，很划算。\r\n酒店去到那几个游玩的地方很方便，专车接送，去广州市区也很方便，车直达地铁站。\r\n10&#183;1期间人不是一般的多，每个游戏项目都是排长龙。但是每个主题乐园都有酒店贵宾专用通道，我和老公', '短评打分': 5}
{'短评内容': '卫生很好,很干净,设施完善,地理位置优越,服务很好,热情周到,性价比不错的酒店,值得推荐', '短评打分': 3}
{'短评内容': '整体来讲还是可以的,就是酒店有两个楼,当时给我安排的是在老楼里的房间,这个房间就很设施很陈旧,价位就有点高了,如果是新楼的话还是符合的,我预订是使用了消费券还是有点优惠的.', '短评打分': 3}
{'短评内容': '整体感觉一般,环境不错,就是交通不方便!设施较齐全!房间不错,但是房间里的空气太差了,有股很重的霉味!\r\n服务就一般,可能是我旅游旺季去的原因,想找个服务员问点事情都要等半天才看到一个,感觉严重人手不足!', '短评打分': 5}
{'短评内容': '酒店不错，设施很全，', '短评打分': 5}
{'短评内容': '酒店很有特色，也很舒适，周边娱乐设施齐全，交通也较方便。不好的地方是酒店内服务员见到客人不象三亚的酒店那样普遍会打个招呼；另外早餐一般般，品种较少，不过价钱也还便宜，整体的性价比是没问题的，只是想吃得多品种些、好些就没有了。', '短评打分': 5}
{'短评内容': '环境很好,值得推荐', '短评打分': 5}
{'短评内容': '酒店环境很好,适合度假.会议.家庭休闲游,就是价格有点贵.', '短评打分': 5}
{'短评内容': '很适合到长隆度假时居住 送的门票可以前往多处景点游览 总体下来觉得挺值 价格要是能适当调整就更好了', '短评打分': 5}
{'短评内容': '环境新，装修不错', '短评打分': 5}
{'短评内容': '酒店设施挺好,比较新,服务也可以,适合来度假的朋友,如果价格能再低一点就更实惠了.', '短评打分': 5}
{'短评内容': '酒店的配套设施非常棒，欢乐世界、水上公园、动物园都非常不错！是个休闲娱乐的好去处。', '短评打分': 5}
{'短评内容': '其实交通挺方便的，可以乘坐地铁，到汉溪长隆站！！一出站口就有酒店的免费巴士接送！而且酒店还在广州东站等其他地方设置接送，非常方便！！我是9月1号去的，不是假期，也不用排什么队，玩的非常开心！！推荐大家可以去玩两天！不过假期我看肯定多人需要排队啦！！去了3天2夜，非常开心！！欢乐世界跟水上乐园很刺激，有胆量的朋友就来吧！！', '短评打分': 5}
{'短评内容': '房间装修得味道太重，呆一会儿就流眼泪。不过酒店的白老虎让人很有新鲜感。且去水上乐园有免费的门票。最糟糕就是这里的出租车，说是广州市，实际上该算是番禺，没有人管的，很难打车，且不打表，你爱坐就坐不坐拉到，也没有地方投诉。', '短评打分': 5}
{'短评内容': '酒店价格高了一些,达不到5星级标准,设施也就4星.性价比差了一些.', '短评打分': 3}
{'短评内容': '酒店的标间的条件感觉不太好，房间竟然有蟑螂，别的房型还是不错的，我原来住的其他的房间', '短评打分': 3}
{'短评内容': '我住了一晚觉得这样的酒店还是不错的,服务卫生方面都挺到位的,设施方面也比较齐全的,周边环境也还可以了,价格方面还是比较合适的.', '短评打分': 3}
{'短评内容': '最近入住長隆感覺不錯, 特別他們的優惠使我得物有所值, 各式各樣娛樂餐飲都有不錯的表現, 惟一較差的是接駁巴士班次不足, 使住客有點不便.', '短评打分': 5}
{'短评内容': '酒店的各个方面都不错，地理位置也挺好的，交通也很方便，服务也不错', '短评打分': 5}
{'短评内容': '酒店的装修风格还是挺好的，但是就是人太多了，前台办理入住时太慢了，手续太繁琐了，排了几次队，等了很长时间，不过酒店的住宿条件还是挺满意的，价格也很实惠，还是比较满意的。', '短评打分': 5}
{'短评内容': '適合全家安排為期三天的渡假休閒酒店,美中不足的是酒店對於住客沒有提供更清楚/透明及優惠的樂園門票價格', '短评打分': 5}
{'短评内容': '酒店服务很好，早餐虽然品种不算多，但是味道不错，比较新鲜。吃饭的话建议去酒店旗下的彩蝶谷美食廊，价钱不算贵，强烈推荐 葱油局乳鸽皇 京都炸酱面 总之菜牌推荐的那几个都是很不错的。 ', '短评打分': 5}
{'短评内容': '这个酒店在景区里面，去景区玩，交通都很方便，环境设施也都挺不错的，就是他的价格稍微高一点，可能是因为在景区里面的原因。', '短评打分': 5}
{'短评内容': '香港來的kenny，於暑假入住，房价貴，服務一般，房內佈置差，陳設旧，餐飲貴得不合理，食物一般，左近没有食店，焗住食。', '短评打分': 1}
{'短评内容': '价格认为稍微高，卫生间冲凉的地方小点，不过酒店的位置方便。价格也优惠', '短评打分': 5}
{'短评内容': '一点都不好，地面很差，服务也很差，而且服务员对说广东话的人就很客气，对说普通话的人就很冷淡', '短评打分': 3}
{'短评内容': '环境很好，服务也不错，就是房价不含早餐。以后有机会还住', '短评打分': 3}
{'短评内容': '环境真的很好，很舒服的一个酒店！', '短评打分': 3}
{'短评内容': '酒店的硬件设施很好,周边的环境可以说在全国同类酒店算是佼佼者,住在酒店有一种在大自然的感觉,整体布局很有独特之美,适合度假旅游的好地方.', '短评打分': 5}
