{'短评内容': '普通的房间，，，，，，看地段就勉强接受吧', '短评打分': 5}
{'短评内容': '酒店地理位置很好，出行很方便，内部的环境也不错，服务也很周到的，价位也很合适，值得推荐\n\n', '短评打分': 3}
{'短评内容': '酒店的卫生条件，硬件设施都不错，服务也挺好的，就是房间小了一点，其他都不错，交通也方便，而且我问了他们的服务员，说他们连锁酒店在其他位置也有，我觉得挺不错的。', '短评打分': 3}
{'短评内容': '酒店地理位置很好，出行很方便，内部的环境也不错，服务也很周到的', '短评打分': 3}
{'短评内容': '地理位置不错很方便出现,房间里面没有窗户这点不太满意其它酒店各方面还是很满意的.', '短评打分': 3}
{'短评内容': '店内的设施有些老旧了,位置还算不错,其它都很一般性价比不怎么样.', '短评打分': 3}
{'短评内容': '服务给个3分...因为前台指路给了个反方向...\r\n其他都很不错，地理位置相当优越', '短评打分': 5}
{'短评内容': '房间隔音效果不太好，特别吵，前台服务态度差，别的还可以，位置比较方便，总的来说还行', '短评打分': 3}
{'短评内容': '这家酒店以前也有住,不过这次去感觉里面很古旧,环境也比较差,下次不会再去住了.', '短评打分': 3}
{'短评内容': '环境感觉不太好，住了一天，我没有感觉什么地方好，不值得推荐', '短评打分': 3}
{'短评内容': '房间比较小，不过在上海市区应该还算可以了', '短评打分': 5}
{'短评内容': '酒店的位置挺不错的，如果出去外，去哪都比较方便，价格也还可以房间挺干净的，就是空间比较小一点。', '短评打分': 5}
{'短评内容': '酒店隔音效果很差,墙是木板的隔断,晚上对门在看电视声音很大我们没法睡觉酒店也不管,特价房没有窗户.这点也没有说明.', '短评打分': 1}
{'短评内容': '酒店的设施比较陈旧了，服务卫生都很一般的，酒店的位置还可以的，方便出行的，价格还可以的，', '短评打分': 5}
{'短评内容': '房间很小，宽带非常慢，而且房间的地毯非常脏，床品估计一周也不换。', '短评打分': 1}
{'短评内容': '房间空间有点，电视也超级小，优势就是离南京路很近。走几分钟就能到', '短评打分': 5}
{'短评内容': 'Location is good and easy to find any kind of transportation.', '短评打分': 5}
{'短评内容': '这家酒店的房间隔音效果非常差，我们入住两个晚上，是不同的房间，墙体用手敲击可断定基本是木隔断墙，而不是砖混墙。第一个晚上隔壁房间的客人在看电视，声音一般大，但是在我们的房间听的一清二楚，感觉是自己房间的电视，整整两个小时无法入睡，凌晨3点多实在忍无可忍打电话给总台，说明了情况，迟迟未解决，打了两次电话后还没解决，无奈我本人走出房间到隔壁的门口“视察”，果然是啊，且传到楼道声音也很大，回房间后再次打', '短评打分': 1}
{'短评内容': '酒店的隔音效果比较差，服务卫生以及设施都很一般的，酒店的位置不错的，性价比还可以的', '短评打分': 5}
{'短评内容': '酒店位置非常方便,房间里面环境也不错,就是面积有些小,总体住着也还算舒适,物有所值', '短评打分': 5}
{'短评内容': '酒店就是服务比较好，硬件条件很一般卫生情况也就是差不多，以这样的水平来说，我觉得价格还是偏高一点。', '短评打分': 1}
{'短评内容': '总体来说还不错,比较干净,服务也很热情,价格还很实惠.', '短评打分': 5}
{'短评内容': '运气不好 底楼居然在装修……整幢楼直接晃动 噪音就更不用提了= =\r\n服务态度一般 卫生不好 有放衣服的衣柜 但是柜子里都是石灰 估计是装修完后就没打扫……\r\n就是位置不错 离商业区很近 附近超市小吃店不少 ', '短评打分': 1}
{'短评内容': '因为旅游出发点在工人文化宫，这里的地理位置很不错，可以去云南路的小吃街，人民广场，步行街，地下城等等，晚上可以去外滩，或者公园散步~特价房能在这个路段找到已经不错了，还挺干净的，就是房间没有窗~~其他还是不错的。', '短评打分': 5}
{'短评内容': '位置靠近南京路,出行比较方便,房间里面也比较干净,就事面积小一些,床也比较小,还有插座有点少,其他方便都可以了.', '短评打分': 5}
{'短评内容': '位置好，很干净，就是房屋有点不隔音，综合挺好', '短评打分': 5}
{'短评内容': '地理位置非常好，适合商旅', '短评打分': 5}
{'短评内容': '相比较来说，还不错。', '短评打分': 5}
{'短评内容': '卫生不是很好，设施也比较陈旧，环境硬件配套都很一般，位置出行也很方便，价格比较合理适中，和酒店的位置来讲，整体可以及格，但是这家酒店附近也比较多，会考虑其它的酒店。', '短评打分': 1}
{'短评内容': '酒店的地段很好,服务以及卫生都很好,价格和地段比较很优惠,整体的来讲酒店的性价比很好,', '短评打分': 5}
{'短评内容': '酒店房间太小了,床也小,位置比较好,周边比较方便,如果一家三口还是要选择双床房,因为大床太小了.', '短评打分': 5}
{'短评内容': '住了以后，我就是觉得他们的被子不是很干净，其他的硬件设施还不错，服务也挺好的，地理位置相对来说也比较方便。', '短评打分': 5}
{'短评内容': '酒店楼下在装修。房间里面味道很差。。。唯一好处就是离南京路比较近。', '短评打分': 1}
{'短评内容': '此酒店离本人要去的都市总部大厦非常近,走路5分钟即到,但地理位置却是的士司机也不愿意去的地方,本人房间临近街边,比较吵.', '短评打分': 5}
{'短评内容': '人民广场附近的酒店,位置的优势.但是房间里面没有窗子,感觉很热,也不通风,硬件还可以,包括卫生也都挺好的.', '短评打分': 5}
{'短评内容': '酒店的服务感觉一般，价格还行，设施条件也不错', '短评打分': 3}
{'短评内容': '服务卫生还是可以的,价格也不贵,就是设施条件太一般了.', '短评打分': 5}
{'短评内容': '酒店靠近市中心交通挺便利的,其它方面还可以了.', '短评打分': 5}
